ancient,old,new,MAL I (0.1ug/ml) Slide#13881 rRequest#2342 Alexa488 6/8/2011 YL,MAL I (1ug/ml) Slide#13882 rRequest#2342 Alexa488 6/8/2011 YL,MAL I (10ug/ml) Slide#13883 rRequest#2342 Alexa488 6/8/2011 YL,MAL I (100ug/ml) Slide#13881 rRequest#2342 Alexa488 6/8/2011 YL,MAA 0.1ug/ml Slide#13634 CFG#non v5.0 Alexa488 4/11/11 HJ,MAA 1ug/ml Slide#13678 CFG#non v5.0 Alexa488 4/15/11 HJ,MAA 10ug/ml Slide#13634 CFG#non v5.0 Alexa488 4/11/11 HJ,MAA 100ug/ml Slide# 13678 CFG#non v5.0 Alexa488 4/15/11 HJ,MAA(Seikagaku) (0.1ug/ml) Slide#:14284 Cfg#2342 07/22/2011 V5.0 Alexa488 CMZ,MAA(Seikagaku) (1ug/ml) Slide#:14291 Cfg#2342 07/25/2011 V5.0 Alexa488 CMZ,MAA(Seikagaku) (10ug/ml) Slide#:14290 Cfg#2342 07/25/2011 V5.0 Alexa488 CMZ,MAA(Seikagaku) (100ug/ml) Slide#:14284 Cfg#2342 07/22/2011 V5.0 Alexa488 CMZ,MAL II (0.1ug/ml) Slide#13884 rRequest#2342 Alexa488 6/8/2011 YL,MAL II (1ug/ml) Slide#13885 rRequest#2342 Alexa488 6/8/2011 YL,MAL II (10ug/ml) Slide#13886 rRequest#2342 Alexa488 6/8/2011 YL,MAL II (100 ug/ml) Slide#13884 rRequest#2342 Alexa488 6/8/2011 YL
Galα-Sp8,Gala-Sp8,Gala-Sp8,9.40525,5.747449999999995,7.456149999999997,11.520525000000005,9.656549999999992,-21.7479,-4.065474999999998,-10.194749999999992,28.846050000000005,14.865249999999996,10.780575000000002,65.94324999999998,-1.3121500000000026,34.25935,297.577,590.7829250000002
Glcα-Sp8,Glca-Sp8,Glca-Sp8,5.1132249999999955,18.156324999999992,0.9017999999999996,3.5764250000000004,14.068925,-2.3544249999999973,18.539900000000014,-27.380399999999995,12.276574999999998,15.078125,13.3402,73.85462500000001,11.618575,65.72907500000002,814.695925,1260.204425
Manα-Sp8,Mana-Sp8,Mana-Sp8,18.485724999999988,39.523550000000014,29.865925000000004,14.726000000000012,28.87380000000001,3.48875,-1.5873500000000007,-122.179925,12.8177,5.862075,0.6221750000000004,45.35445,28.5875,17.377425,46.105225,89.94087499999996
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,2.445050000000002,4.996849999999999,8.253600000000006,1.5588750000000022,6.489899999999999,3.7437750000000047,13.399825000000005,-10.364575,12.509974999999995,4.867750000000001,11.092025,3.3332,0.33822499999999606,0.08147500000000107,3.127049999999997,112.16042500000003
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,8.5395,15.350375000000005,12.035799999999993,5.706950000000003,8.228274999999996,-4.834874999999993,33.706025,-21.19805000000005,20.714225000000006,19.44785,12.28265,28.205850000000005,13.756175000000002,8.6985,21.515725000000003,296.85975
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,-2.324600000000004,-2.724375,-2.5959249999999976,-8.921450000000005,-7.379674999999999,-6.850675000000003,-3.5879250000000016,-46.32042499999999,0.735199999999999,-0.5389999999999997,-0.5422250000000021,6.5165000000000015,2.310374999999997,-6.8392250000000026,-15.437424999999998,58.710325
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,3.9504499999999982,-1.3503750000000048,6.867600000000002,-0.8461749999999952,6.761300000000002,8.511750000000003,-2.684799999999996,1440.2999000000002,16.859900000000003,13.648424999999998,2.1088249999999986,18.63765,-1.7134500000000017,15.1528,-15.346050000000005,29.17147499999999
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,11.012424999999995,1.0550750000000022,2.7239500000000003,7.3098750000000035,10.393674999999998,-11.35345,-8.829674999999998,-83.954425,14.22955,10.074625,13.785975,6.722174999999997,0.7596000000000025,21.297175,-9.304975,-42.22515
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,1.5615999999999968,3.2360499999999988,2.4643499999999925,-2.3563749999999963,-1.8233499999999907,-11.433075,-9.357700000000003,1101.040125,-0.5854500000000007,6.079375,9.26725,5.110600000000002,-4.45125,-9.925175,3.2220250000000017,27.50787500000001
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,-0.9118249999999986,3.809700000000003,-3.4621250000000057,1.734774999999999,-2.368075000000001,-12.84845,-14.962900000000005,109.963825,13.030525,7.639699999999999,-4.105550000000001,-8.1855,-8.681350000000005,-15.222350000000004,-3.300625,-38.113850000000006
