ancient,old,new,LCA (0.1ug/ml) Slide#13932  rRequest#2342 Alexa488 6/14/2011 YL,LCA (1ug/ml) Slide#13933  rRequest#2342 Alexa488 6/14/2011 YL,LCA (10ug/ml) Slide#13934  rRequest#2342 Alexa488 6/14/2011 YL,LCA (100 ug/ml) Slide#13932  rRequest#2342 Alexa488 6/14/2011 YL,LcH (0.1ug/ml) Slide#15040  rRequest#2342 Alexa488 1/27/2012 YL,LcH (1ug/ml) Slide#15050 rRequest#2342 Alexa488 1/30/2012 YL,LcH (10ug/ml) slide#15049 rRequest#2342 Alexa488 1/30/2012 YL,LcH (100ug/ml) Slide#15040 rRequest#2342 Alexa488 1/27/2012 YL
Galα-Sp8,Gala-Sp8,Gala-Sp8,11.856650000000002,15.407675,13.96825,-1.212625,11.285025000000005,32.513975,13.955075,79.45675000000003
Glcα-Sp8,Glca-Sp8,Glca-Sp8,15.586200000000002,21.600575,20.0838,8.162675000000002,11.915674999999998,7.35875,15.308725000000004,10.7969
Manα-Sp8,Mana-Sp8,Mana-Sp8,21.889225,16.704649999999994,37.28065,17.781299999999995,7.1022,4.2619500000000015,38.8436,73.385325
GalNAcα-Sp8,GalNAca-Sp8,GalNAca-Sp8,21.44665,12.940874999999998,13.314925,10.66515,10.575075,10.287100000000002,3.7691000000000026,12.09665
GalNAcα-Sp15,Fuca-Sp8,GalNAca-Sp15,13.056149999999995,11.500050000000005,16.941749999999995,13.068475,17.821324999999995,11.044275,23.2143,19.830475
Fucα-Sp8,Fuca-Sp9,Fuca-Sp8,9.9168,5.122074999999997,2.8511000000000006,4.679875000000001,14.371400000000005,9.804150000000002,9.1676,20.313724999999987
Fucα-Sp9,Rha-Sp8,Fuca-Sp9,8.995575,-0.4602750000000011,5.659125,15.094624999999995,55.08315000000002,16.843675000000005,80.59505000000001,133.6095
Rhaα-Sp8,Neu5Aca-Sp8,Rhaa-Sp8,12.390899999999998,17.925975,10.179750000000002,9.133299999999998,14.927699999999998,8.795850000000009,16.9859,29.669075
Neu5Acα-Sp8,Neu5Aca-Sp11,Neu5Aca-Sp8,23.166725,3.3591750000000022,13.668574999999995,12.186825,14.33495,16.812225000000005,34.988550000000004,9.880249999999998
Neu5Acα-Sp11,Neu5Acb-Sp8,Neu5Aca-Sp11,9.911850000000015,5.622525000000001,13.915475,-1.8421750000000543,10.663249999999994,14.287425000000002,11.69775,6.588075000000003
Neu5Acβ-Sp8,Galb-Sp8,Neu5Acb-Sp8,-2.386075,4.403050000000002,6.598900000000004,2.422974999999997,4.58875,22.95745,8.288,11.446174999999998
Galβ-Sp8,Glcb-Sp8,Galb-Sp8,13.201274999999995,5.060250000000004,18.0346,22.6876,13.986924999999998,13.062074999999995,27.8823,15.514925000000005
Glcβ-Sp8,Manb-Sp8,Glcb-Sp8,14.788900000000005,12.180950000000005,14.987525000000002,17.244725000000006,8.264225000000003,21.508375,26.370625,23.05125
Manβ-Sp8,GalNAcb-Sp8,Manb-Sp8,-7.163725000000001,4.41165,18.178875000000005,5.0972500000000025,23.917350000000006,24.556175,49.163025,17.911825
GalNAcβ-Sp8,GlcNAcb-Sp0,GalNAcb-Sp8,20.020025000000008,15.085325,19.688900000000004,6.020799999999997,17.244024999999993,37.5223,33.44595,41.1528
GlcNAcβ-Sp0,GlcNAcb-Sp8,GlcNAcb-Sp0,49.84607499999999,15.817375,15.26195,10.118025,8.300349999999998,18.956225,32.271224999999994,24.151825
GlcNAcβ-Sp8,,GlcNAcb-Sp8,21.38775,5.992374999999999,3.8749750000000014,3.657225,12.856850000000005,15.034925000000005,14.598650000000005,21.68415
